program_id,course_title,url,num_learning_objectives,num_modules,num_module_contents,coverage_percentage,mean_max_similarity
181,Health Care Delivery in Healthcare Organizations,https://www.coursera.org/learn/healthcare-delivery-in-healthcare-organizations,7,4,8,0.0,0.21188136701072963
181,Quality Improvement in Healthcare Organizations,https://www.coursera.org/learn/quality-improvement-in-healthcare-organizations,7,4,8,0.0,0.26488174274563786
181,Business Process Management in Healthcare Organizations,https://www.coursera.org/learn/business-process-management-in-healthcare-organizations,8,4,8,0.0,0.37821486331522464
181,Healthcare Organizations and the Health System,https://www.coursera.org/learn/healthcare-organizations-health-system,7,4,8,0.0,0.3410838393228394
182,Sustainable Building: Design and Specification,https://www.coursera.org/learn/sustainable-building-design-and-specification,3,3,28,66.66666666666666,0.6371124188105265
182,Material Chemistry and Sustainable Building,https://www.coursera.org/learn/material-chemistry-and-sustainable-building,3,3,26,100.0,0.8111848632494608
182,Sustainable Construction in a Circular Economy,https://www.coursera.org/learn/sustainable-construction-in-a-circular-economy,3,3,28,100.0,0.6728863914807638
182,Building Materials and Human Health,https://www.coursera.org/learn/building-materials-and-human-health,3,3,26,100.0,0.8145471413930258
183,Life Cycle Assessment,https://www.coursera.org/learn/life-cycle-assessment,3,6,72,100.0,0.6448028723398845
183,Healthy and Sustainable Foods,https://www.coursera.org/learn/healthy-sustainable-foods,3,3,29,100.0,0.6963391403357188
183,Sustainable Consumption and Health,https://www.coursera.org/learn/sustainable-consumption-health,2,3,21,100.0,0.7029537171125412
183,Health Impacts of Chemicals in Consumer Products,https://www.coursera.org/learn/health-impacts-chemicals-consumer-products,3,3,42,66.66666666666666,0.6230310410261154
184,Hôtel “De l'étoile” - a hotel in crisis? ,https://www.coursera.org/learn/hotel-management-project,6,4,12,33.33333333333333,0.474879290163517
184,The fundamentals of hotel distribution,https://www.coursera.org/learn/hotel-distribution,7,4,53,57.14285714285714,0.5634943672588894
184,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,https://www.coursera.org/learn/fundamentals-of-revenue-management,1,4,38,0.0,0.3438432216644287
184,Demand management: Breaking down today’s commercial silos,https://www.coursera.org/learn/demandmanagement,6,4,49,100.0,0.5867229163646698
185,Guitar Scales and Chord Progressions,https://www.coursera.org/learn/guitar-scales-chord-progressions,3,5,29,100.0,0.791062182188034
185,Guitar Chord Voicings: Playing Up The Neck,https://www.coursera.org/learn/guitar-chords,4,5,19,75.0,0.5658694595098496
185,Guitar for Beginners,https://www.coursera.org/learn/guitar,5,14,78,60.0,0.532165619134903
185,Guitar Performance Techniques,https://www.coursera.org/learn/guitar-performance,3,5,22,33.33333333333333,0.47457725703716275
186,"The Heart, Blood, and Lungs",https://www.coursera.org/learn/heart-blood-lungs,3,3,31,66.66666666666666,0.5590121900041898
186,"Medical Terminology, Anatomy, and Physiology Fundamentals",https://www.coursera.org/learn/medical-terminology-anatomy-physiology-fundamentals,4,4,21,100.0,0.6578377306461334
186,"The Skin, Bones, and Muscles",https://www.coursera.org/learn/skin-bones-muscles,3,3,16,33.33333333333333,0.5392527341842651
186,"Digestion, Micturition, and Reproduction",https://www.coursera.org/learn/digestion-micturition-reproduction,3,3,26,66.66666666666666,0.5766645342111588
186,The Human Body's Communication Systems,https://www.coursera.org/learn/human-body-communication-systems,3,3,25,33.33333333333333,0.4566421801845233
187,Managing Employee Performance,https://www.coursera.org/learn/employee-performance,12,4,48,66.66666666666666,0.5400317780673504
187,Managing Employee Compensation,https://www.coursera.org/learn/compensation-management,4,4,43,25.0,0.40508875772356984
187,Preparing to Manage Human Resources,https://www.coursera.org/learn/managing-human-resources,7,4,47,28.57142857142857,0.45972983049494875
187,Human Resources Management Capstone: HR for People Managers,https://www.coursera.org/learn/human-resources-management-capstone,17,7,49,58.82352941176471,0.531205057571916
