,url
121,https://www.coursera.org/specializations/uva-darden-digital-product-management
122,https://www.coursera.org/specializations/digital-signal-processing
123,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing
124,https://www.coursera.org/specializations/digital-transformation-using-ai-ml-with-google-cloud
125,https://www.coursera.org/specializations/aerospace
126,https://www.coursera.org/specializations/django
127,https://www.coursera.org/specializations/drug-development-product-management
128,https://www.coursera.org/specializations/public-speaking
129,https://www.coursera.org/specializations/effective-business-communication
130,https://www.coursera.org/specializations/electronic-music-production
131,https://www.coursera.org/specializations/embedding-sensors-motors
132,https://www.coursera.org/specializations/energy-industry
133,https://www.coursera.org/specializations/engineering-project-management
134,https://www.coursera.org/specializations/entrepreneurial-finance
135,https://www.coursera.org/specializations/wharton-entrepreneurship
136,https://www.coursera.org/specializations/entrepreneurship-growing-your-business
137,https://www.coursera.org/specializations/professional-epidemiology
138,https://www.coursera.org/specializations/ethical-leadership
139,https://www.coursera.org/specializations/european-business-law
140,https://www.coursera.org/specializations/everyday-excel
141,https://www.coursera.org/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty
142,https://www.coursera.org/specializations/excel
143,https://www.coursera.org/specializations/excel-data-analytics-visualization
144,https://www.coursera.org/specializations/excel-mysql
145,https://www.coursera.org/specializations/excel-vba-creative-problem-solving
146,https://www.coursera.org/specializations/executive-data-science
147,https://www.coursera.org/specializations/expressway-to-data-science-essential-math
148,https://www.coursera.org/specializations/python-programming-data-science
149,https://www.coursera.org/specializations/extended-reality-for-everybody
150,https://www.coursera.org/specializations/fpga-design
151,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
152,https://www.coursera.org/specializations/finance-for-technical-managers
153,https://www.coursera.org/specializations/financial-analysis-skills-for-success
154,https://www.coursera.org/specializations/financialengineering
155,https://www.coursera.org/specializations/financial-management
156,https://www.coursera.org/specializations/financial-reporting
157,https://www.coursera.org/specializations/financialtechnology
158,https://www.coursera.org/specializations/finanzascorporativas
159,https://www.coursera.org/specializations/wharton-fintech
160,https://www.coursera.org/specializations/firstprinciplesofcomputervision
161,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking
162,https://www.coursera.org/specializations/foundational-finance
163,https://www.coursera.org/specializations/boulder-data-structures-algorithms
164,https://www.coursera.org/specializations/foundations-management
165,https://www.coursera.org/specializations/positivepsychology
166,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform
167,https://www.coursera.org/specializations/scala
168,https://www.coursera.org/specializations/accounting-fundamentals
169,https://www.coursera.org/specializations/computer-fundamentals
170,https://www.coursera.org/specializations/flight-mechanics-fundamentals
171,https://www.coursera.org/specializations/immunology
172,https://www.coursera.org/specializations/fundraising-development
173,https://www.coursera.org/specializations/futures-thinking
174,https://www.coursera.org/specializations/gis-mapping-spatial-analysis
175,https://www.coursera.org/specializations/gpu-programming
176,https://www.coursera.org/specializations/game-design-and-development
177,https://www.coursera.org/specializations/game-design
178,https://www.coursera.org/specializations/generative-adversarial-networks-gans
179,https://www.coursera.org/specializations/genomic-data-science
180,https://www.coursera.org/specializations/gis
181,https://www.coursera.org/specializations/getting-started-with-google-workspace
182,https://www.coursera.org/specializations/procurement-sourcing
183,https://www.coursera.org/specializations/good-with-words
184,https://www.coursera.org/specializations/graphic-design
185,https://www.coursera.org/specializations/habilidades
186,https://www.coursera.org/specializations/health-informatics
187,https://www.coursera.org/specializations/healthcare-information-literacy-data-analytics
188,https://www.coursera.org/specializations/healthcare-it
189,https://www.coursera.org/specializations/healthcare-law
190,https://www.coursera.org/specializations/healthcare-organization-operations
191,https://www.coursera.org/specializations/healthier-materials-and-sustainable-building
192,https://www.coursera.org/specializations/healthy-sustainable-foods-products
193,https://www.coursera.org/specializations/hotel-management
194,https://www.coursera.org/specializations/play-guitar
195,https://www.coursera.org/specializations/human-anatomy-medical-terminology-fundamentals
196,https://www.coursera.org/specializations/human-resource-management
197,https://www.coursera.org/specializations/digital-strategy
198,https://www.coursera.org/specializations/ibm-ai-workflow
199,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
200,https://www.coursera.org/specializations/ibm-intro-machine-learning
201,https://www.coursera.org/specializations/ielts-preparation
202,https://www.coursera.org/specializations/it-fundamentals-cybersecurity
203,https://www.coursera.org/specializations/immunology-the-immune-system-and-its-failures
204,https://www.coursera.org/specializations/improve-english
205,https://www.coursera.org/specializations/nonprofit
206,https://www.coursera.org/specializations/infectious-disease-modelling
207,https://www.coursera.org/specializations/influencing-storytelling-change-management
208,https://www.coursera.org/specializations/it-cloud-fundamentals
209,https://www.coursera.org/specializations/information-systems
210,https://www.coursera.org/specializations/innovation-creativity-entrepreneurship
211,https://www.coursera.org/specializations/inspired-leadership
212,https://www.coursera.org/specializations/integrative-health-and-medicine
213,https://www.coursera.org/specializations/integrative-nursing
214,https://www.coursera.org/specializations/introduction-intellectual-property
215,https://www.coursera.org/specializations/interaction-design
216,https://www.coursera.org/specializations/mba
217,https://www.coursera.org/specializations/international-marketing
218,https://www.coursera.org/specializations/english-interview-resume
219,https://www.coursera.org/specializations/introduction-to-biology
220,https://www.coursera.org/specializations/business-introduction
221,https://www.coursera.org/specializations/introduction-computer-science-programming
222,https://www.coursera.org/specializations/intro-cyber-security
223,https://www.coursera.org/specializations/introduction-data-science
224,https://www.coursera.org/specializations/discrete-mathematics
225,https://www.coursera.org/specializations/environmental-science
226,https://www.coursera.org/specializations/finance-accounting
227,https://www.coursera.org/specializations/accounting
228,https://www.coursera.org/specializations/logic-critical-thinking-duke
229,https://www.coursera.org/specializations/programming-python-java
